pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.35034,0.0432771,0.492463,0.113919,-6.78935,-2.8315,8.63841,-8.83406,-7.34754,4.12612,7.21568,-5.79149,0.177716,-1.26886,-1.26886,0.0269657,1.40415,0.458808,0.458808,0.012486,0.259664,0.658615,0.658615,0.328801,0.681271,-0.220813,-0.220813,1.74651,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.568053,0.0393434,0.0509471,0.341656,-0.363221,1.36692,1.18661,-3.87712,-4.33758,4.16011,-2.14693,-7.20679,0.0294167,0.0927985,0.0927985,0.066296,0.0528004,-0.11269,-0.11269,1.34039,0.251628,-1.13295,-1.13295,2.88921,1.95416,0.759497,0.759497,0.843266,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.457661,0.211189,0.229332,0.101818,-2.80801,0.341198,0.37776,-7.20818,9.79442,2.93568,-8.33172,3.33095,0.35377,0.562251,0.562251,0.115993,4.04121,0.15557,0.15557,1.93395,0.301206,-0.143223,-0.143223,0.113836,0.728615,-0.0546208,-0.0546208,0.0989278,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.186145,0.136914,0.378551,0.29839,7.98647,6.76199,-8.18041,-9.8163,1.80083,-0.0641828,3.76354,-8.29694,0.105778,-0.31214,-0.31214,0.292626,0.572274,0.517026,0.517026,0.435759,0.478344,1.3781,1.3781,2.74079,7.25249,0.155482,0.155482,0.219936,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.244886,0.285159,0.333027,0.136929,-2.59285,-5.64551,4.21003,7.90084,4.40062,8.32403,5.88758,-7.46452,0.161067,-0.570051,-0.570051,0.0164839,0.00570068,1.30832,1.30832,1.47459,1.35277,-0.0466296,-0.0466296,0.000441234,0.446756,0.559098,0.559098,1.96681,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.323569,0.521272,0.123966,0.0311928,-9.93553,-1.60175,-8.17406,-8.97155,-5.3534,-3.50569,-6.4165,2.68622,0.611992,-0.723959,-0.723959,1.77472,0.031343,-0.408741,-0.408741,0.531635,1.58256,0.534326,0.534326,0.542706,0.982745,0.688867,0.688867,0.194682,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.0262687,0.556022,0.087959,0.329751,1.34591,-6.99891,-2.12565,-6.46765,3.51353,6.14783,8.67631,-7.20605,0.427476,0.0317658,0.0317658,0.0562,1.07817,-0.00561337,-0.00561337,0.0373605,0.66756,0.411326,0.411326,2.37705,0.0999844,0.0408364,0.0408364,0.111758,-18736.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.188833,0.208884,0.312973,0.289311,9.39748,-4.27896,0.973903,-6.70347,5.12723,9.31066,6.34672,-5.16044,0.269066,-0.159301,-0.159301,0.455655,0.0482336,-0.102825,-0.102825,0.126084,0.2484,0.315913,0.315913,0.0600857,1.66901,0.616351,0.616351,0.373674,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.341582,0.0607316,0.198825,0.398861,-2.54366,7.39564,9.60675,-0.540298,2.97903,-4.26613,-4.96249,0.779793,0.049541,-0.0243025,-0.0243025,0.237949,1.01425,0.168714,0.168714,0.187528,1.74808,2.11688,2.11688,0.193027,0.409435,1.01105,1.01105,0.682341,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
0.138045,0.0966742,0.667897,0.0973841,-3.44768,-6.85444,2.65796,-6.31575,-5.59634,-6.06875,-0.203101,0.173093,2.97116,0.79259,0.79259,0.382956,0.194534,-0.987995,-0.987995,1.00105,0.00190805,0.135344,0.135344,0.0173863,0.0521665,0.919268,0.919268,2.70428,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1
