pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,pi^0,pi^1,pi^2,pi^3,mu^0_0,mu^0_1,mu^1_0,mu^1_1,mu^2_0,mu^2_1,mu^3_0,mu^3_1,sigma^0_00,sigma^0_01,sigma^0_10,sigma^0_11,sigma^1_00,sigma^1_01,sigma^1_10,sigma^1_11,sigma^2_00,sigma^2_01,sigma^2_10,sigma^2_11,sigma^3_00,sigma^3_01,sigma^3_10,sigma^3_11,logL,step
0.498695,0.051992,0.100046,0.349267,4.69731,-1.26149,-8.35357,-1.09406,1.03376,-6.62518,-6.94511,-7.29451,15.0957,30.3117,30.3117,81.1656,63.864,-80.1645,-80.1645,100.905,39.7086,96.2694,96.2694,235.173,33.4225,3.9976,3.9976,0.729974,-8898.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.64041,0.171444,0.18321,0.00493641,9.45,6.85262,4.1212,-7.68856,2.05,-8.74307,4.00655,4.84502,23.2372,2.66926,2.66926,5.64474,92.045,-30.7995,-30.7995,109.477,11.9306,-19.9989,-19.9989,55.2431,13.5663,6.93196,6.93196,22.4868,-6935.37,0.390009,0.10022,0.216931,0.29284,1.98295,1.97645,-2.03151,-1.79711,-1.90083,2.05607,1.96754,-1.89402,0.879804,0.0859602,0.0859602,0.983208,1.28447,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891823,0.962458,0.122668,0.122668,1.16928,-3987.94,97
0.332132,0.0163556,0.292814,0.358699,9.27091,6.13874,-0.214877,1.43484,2.39454,-3.09199,2.85244,-2.31447,25.8187,5.50543,5.50543,5.24991,157.561,-90.7641,-90.7641,52.3121,27.0529,22.9138,22.9138,71.3312,83.6216,21.0022,21.0022,22.1178,-6109.36,0.390009,0.216931,0.29284,0.10022,1.98295,1.97645,-1.90083,2.05607,1.96754,-1.89402,-2.03151,-1.79711,0.879804,0.0859602,0.0859602,0.983208,1.19291,-0.222701,-0.222701,0.891823,0.962458,0.122668,0.122668,1.16928,1.28447,0.207977,0.207977,1.04946,-3987.94,120
0.330959,0.255105,0.308083,0.105853,-7.77604,-9.47273,-8.43379,-7.93053,4.84973,7.85063,9.09868,-6.64893,43.4036,60.5791,60.5791,91.922,48.0732,21.0532,21.0532,16.1663,4.42055,1.91409,1.91409,64.8455,95.716,107.899,107.899,122.807,-6541.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.19497,0.0144358,0.485242,0.305352,8.16098,1.76894,-3.04847,2.12428,1.52209,-3.73766,6.7008,1.04377,7.49177,1.89916,1.89916,13.3391,41.9471,-16.2622,-16.2622,11.6938,114.452,77.228,77.228,79.1918,20.654,-50.0065,-50.0065,121.558,-6874.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.210491,0.134399,0.343012,0.312098,5.14438,-4.51139,-8.7275,9.61818,3.85373,-4.78691,-8.94275,-2.36562,40.2219,12.4766,12.4766,38.2996,35.3834,-45.6363,-45.6363,59.2878,18.9609,-6.81148,-6.81148,64.7033,28.7267,-16.0296,-16.0296,15.6461,-6416.9,0.29284,0.216931,0.390009,0.10022,1.96754,-1.89402,-1.90083,2.05607,1.98295,1.97645,-2.03151,-1.79711,0.962458,0.122667,0.122667,1.16928,1.19291,-0.222701,-0.222701,0.891823,0.879804,0.0859602,0.0859602,0.983208,1.28448,0.207977,0.207977,1.04946,-3987.94,123
0.0966349,0.309239,0.322883,0.271243,-7.04289,9.70076,-3.87035,1.89894,3.13995,-3.86767,-0.363543,-0.383362,30.3376,1.99824,1.99824,8.1796,79.2801,-35.7037,-35.7037,16.6412,230.787,25.4824,25.4824,16.2282,47.9899,-37.9421,-37.9421,31.7287,-6393.01,0.390009,0.216931,0.10022,0.29284,1.98295,1.97645,-1.90083,2.05607,-2.03151,-1.79711,1.96754,-1.89402,0.879804,0.0859603,0.0859603,0.983208,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,-3987.94,108
0.134566,0.46403,0.138847,0.262557,1.49138,0.836518,2.80408,1.89814,1.109,-3.73137,7.83079,-7.52204,22.8214,22.8042,22.8042,39.7335,25.0617,-38.6575,-38.6575,85.6675,29.9568,21.0696,21.0696,35.3984,14.0359,-16.9562,-16.9562,25.5262,-5770.32,0.216931,0.390009,0.10022,0.29284,-1.90083,2.05607,1.98295,1.97645,-2.03151,-1.79711,1.96754,-1.89402,1.19291,-0.222701,-0.222701,0.891823,0.879804,0.0859602,0.0859602,0.983208,1.28447,0.207977,0.207977,1.04946,0.962458,0.122668,0.122668,1.16928,-3987.94,166
0.259927,0.299169,0.199095,0.241808,8.96394,-1.4001,-6.90536,5.53273,-6.26564,-6.56488,4.44786,0.0363187,15.7922,-34.0831,-34.0831,103.834,25.4629,51.8991,51.8991,105.871,30.2327,41.2466,41.2466,58.6257,121.295,-45.7193,-45.7193,42.8911,-6923.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.311662,0.190596,0.244381,0.25336,3.16576,6.89287,2.59841,-7.43717,-3.05485,4.18701,-8.89427,9.49491,53.4011,-40.5514,-40.5514,33.5483,150.874,52.5782,52.5782,33.356,64.1199,24.8418,24.8418,16.498,1.30595,4.48731,4.48731,20.3357,-7737.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.24308,0.400906,0.198814,0.1572,4.62298,3.95036,1.39604,9.79278,0.419085,-2.56379,1.6033,8.6787,92.7317,5.64022,5.64022,67.5843,23.8333,-13.4304,-13.4304,34.9919,36.0312,31.4961,31.4961,84.0237,19.1762,-15.9058,-15.9058,33.7684,-6422.1,0.29284,0.216931,0.10022,0.390009,1.96754,-1.89402,-1.90083,2.05607,-2.03151,-1.79711,1.98295,1.97645,0.962458,0.122668,0.122668,1.16928,1.19291,-0.222701,-0.222701,0.891822,1.28448,0.207977,0.207977,1.04946,0.879805,0.0859603,0.0859603,0.983209,-3987.94,119
0.10543,0.230498,0.448468,0.215604,5.33201,-3.602,7.25532,-0.85399,5.201,6.37272,-2.83401,8.26134,14.1368,7.73265,7.73265,88.7734,23.0982,-38.826,-38.826,65.5736,28.6453,37.1749,37.1749,110.767,106.466,-137.099,-137.099,188.018,-6426.06,0.411947,0.00286938,0.21729,0.367894,2.17706,0.402324,3.8409,4.19481,-0.0162628,-2.07777,-0.464069,2.05443,0.581527,0.100131,0.100131,4.16808,0.497593,-0.259293,-0.259293,0.135161,4.74453,-0.317232,-0.317232,0.977341,4.16178,-0.103085,-0.103085,0.819517,-4074.04,163
0.32925,0.271814,0.1262,0.272736,4.30307,-3.96295,-4.18915,-7.7396,-6.27899,6.79425,6.00468,-7.7286,11.1082,6.66689,6.66689,4.96422,73.4309,60.4855,60.4855,51.2765,26.9911,15.794,15.794,11.0934,24.1047,52.9357,52.9357,126.732,-12368.4,0.29284,0.10022,0.216931,0.390009,1.96754,-1.89402,-2.03151,-1.79711,-1.90083,2.05607,1.98295,1.97645,0.962458,0.122668,0.122668,1.16928,1.28447,0.207977,0.207977,1.04946,1.19291,-0.222701,-0.222701,0.891823,0.879804,0.0859602,0.0859602,0.983208,-3987.94,127
0.0887338,0.376481,0.324542,0.210243,8.13289,2.76008,3.19736,-6.99067,-6.89912,4.5381,5.66479,1.43368,19.9246,-18.1996,-18.1996,29.6535,75.7811,-33.1724,-33.1724,14.5612,10.7935,-13.4366,-13.4366,27.5451,2.39962,-0.571111,-0.571111,1.27584,-7726.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
