"","is_prime","prime_prob","p","kind"
"1","0",0,1,"not_prime"
"2","1",1,2,"prime"
"3","1",1,3,"prime"
"4","0",0,4,"not_prime"
"5","1",1,5,"prime"
"6","0",0,6,"not_prime"
"7","1",1,7,"prime"
"8","0",0,8,"not_prime"
"9","0",0.142857,9,"pseudoprime"
"10","0",0,10,"not_prime"
"11","1",1,11,"prime"
"12","0",0,12,"not_prime"
"13","1",1,13,"prime"
"14","0",0,14,"not_prime"
"15","0",0.230769,15,"pseudoprime"
"16","0",0,16,"not_prime"
"17","1",1,17,"prime"
"18","0",0,18,"not_prime"
"19","1",1,19,"prime"
"20","0",0,20,"not_prime"
"21","0",0.157895,21,"pseudoprime"
"22","0",0,22,"not_prime"
"23","1",1,23,"prime"
"24","0",0,24,"not_prime"
"25","0",0.130435,25,"pseudoprime"
"26","0",0,26,"not_prime"
"27","0",0.04,27,"pseudoprime"
"28","0",0.0769231,28,"pseudoprime"
"29","1",1,29,"prime"
"30","0",0,30,"not_prime"
"31","1",1,31,"prime"
"32","0",0,32,"not_prime"
"33","0",0.0967742,33,"pseudoprime"
"34","0",0,34,"not_prime"
"35","0",0.0909091,35,"pseudoprime"
"36","0",0,36,"not_prime"
"37","1",1,37,"prime"
"38","0",0,38,"not_prime"
"39","0",0.0810811,39,"pseudoprime"
"40","0",0,40,"not_prime"
"41","1",1,41,"prime"
"42","0",0,42,"not_prime"
"43","1",1,43,"prime"
"44","0",0,44,"not_prime"
"45","0",0.162791,45,"pseudoprime"
"46","0",0,46,"not_prime"
"47","1",1,47,"prime"
"48","0",0,48,"not_prime"
"49","0",0.106383,49,"pseudoprime"
"50","0",0,50,"not_prime"
"51","0",0.0612245,51,"pseudoprime"
"52","0",0.04,52,"pseudoprime"
"53","1",1,53,"prime"
"54","0",0,54,"not_prime"
"55","0",0.0566038,55,"pseudoprime"
"56","0",0,56,"not_prime"
"57","0",0.0545455,57,"pseudoprime"
"58","0",0,58,"not_prime"
"59","1",1,59,"prime"
"60","0",0,60,"not_prime"
"61","1",1,61,"prime"
"62","0",0,62,"not_prime"
"63","0",0.0491803,63,"pseudoprime"
"64","0",0,64,"not_prime"
"65","0",0.238095,65,"pseudoprime"
"66","0",0.0625,66,"pseudoprime"
"67","1",1,67,"prime"
"68","0",0,68,"not_prime"
"69","0",0.0447761,69,"pseudoprime"
"70","0",0.0294118,70,"pseudoprime"
"71","1",1,71,"prime"
"72","0",0,72,"not_prime"
"73","1",1,73,"prime"
"74","0",0,74,"not_prime"
"75","0",0.0410959,75,"pseudoprime"
"76","0",0.027027,76,"pseudoprime"
"77","0",0.04,77,"pseudoprime"
"78","0",0,78,"not_prime"
"79","1",1,79,"prime"
"80","0",0,80,"not_prime"
"81","0",0.0126582,81,"pseudoprime"
"82","0",0,82,"not_prime"
"83","1",1,83,"prime"
"84","0",0,84,"not_prime"
"85","0",0.180723,85,"pseudoprime"
"86","0",0,86,"not_prime"
"87","0",0.0352941,87,"pseudoprime"
"88","0",0,88,"not_prime"
"89","1",1,89,"prime"
"90","0",0,90,"not_prime"
"91","0",0.393258,91,"pseudoprime"
"92","0",0,92,"not_prime"
"93","0",0.032967,93,"pseudoprime"
"94","0",0,94,"not_prime"
"95","0",0.0322581,95,"pseudoprime"
"96","0",0,96,"not_prime"
"97","1",1,97,"prime"
"98","0",0,98,"not_prime"
"99","0",0.0309278,99,"pseudoprime"
"100","0",0,100,"not_prime"
"101","1",1,101,"prime"
"102","0",0,102,"not_prime"
"103","1",1,103,"prime"
"104","0",0,104,"not_prime"
"105","0",0.145631,105,"pseudoprime"
"106","0",0,106,"not_prime"
"107","1",1,107,"prime"
"108","0",0,108,"not_prime"
"109","1",1,109,"prime"
"110","0",0,110,"not_prime"
"111","0",0.0275229,111,"pseudoprime"
"112","0",0.0181818,112,"pseudoprime"
"113","1",1,113,"prime"
"114","0",0,114,"not_prime"
"115","0",0.0265487,115,"pseudoprime"
"116","0",0,116,"not_prime"
"117","0",0.0608696,117,"pseudoprime"
"118","0",0,118,"not_prime"
"119","0",0.025641,119,"pseudoprime"
"120","0",0,120,"not_prime"
"121","0",0.0756303,121,"pseudoprime"
"122","0",0,122,"not_prime"
"123","0",0.0247934,123,"pseudoprime"
"124","0",0.0163934,124,"pseudoprime"
"125","0",0.0243902,125,"pseudoprime"
"126","0",0,126,"not_prime"
"127","1",1,127,"prime"
"128","0",0,128,"not_prime"
"129","0",0.023622,129,"pseudoprime"
"130","0",0.015625,130,"pseudoprime"
"131","1",1,131,"prime"
"132","0",0,132,"not_prime"
"133","0",0.267176,133,"pseudoprime"
"134","0",0,134,"not_prime"
"135","0",0.0225564,135,"pseudoprime"
"136","0",0,136,"not_prime"
"137","1",1,137,"prime"
"138","0",0,138,"not_prime"
"139","1",1,139,"prime"
"140","0",0,140,"not_prime"
"141","0",0.0215827,141,"pseudoprime"
"142","0",0,142,"not_prime"
"143","0",0.0212766,143,"pseudoprime"
"144","0",0,144,"not_prime"
"145","0",0.104895,145,"pseudoprime"
"146","0",0,146,"not_prime"
"147","0",0.0206897,147,"pseudoprime"
"148","0",0.0136986,148,"pseudoprime"
"149","1",1,149,"prime"
"150","0",0,150,"not_prime"
"151","1",1,151,"prime"
"152","0",0,152,"not_prime"
"153","0",0.0993377,153,"pseudoprime"
"154","0",0.0131579,154,"pseudoprime"
"155","0",0.0196078,155,"pseudoprime"
"156","0",0,156,"not_prime"
"157","1",1,157,"prime"
"158","0",0,158,"not_prime"
"159","0",0.0191083,159,"pseudoprime"
"160","0",0,160,"not_prime"
"161","0",0.0188679,161,"pseudoprime"
"162","0",0,162,"not_prime"
"163","1",1,163,"prime"
"164","0",0,164,"not_prime"
"165","0",0.0920245,165,"pseudoprime"
"166","0",0,166,"not_prime"
"167","1",1,167,"prime"
"168","0",0,168,"not_prime"
"169","0",0.0658683,169,"pseudoprime"
"170","0",0,170,"not_prime"
"171","0",0.0177515,171,"pseudoprime"
"172","0",0.0117647,172,"pseudoprime"
"173","1",1,173,"prime"
"174","0",0,174,"not_prime"
"175","0",0.0635838,175,"pseudoprime"
"176","0",0.0229885,176,"pseudoprime"
"177","0",0.0171429,177,"pseudoprime"
"178","0",0,178,"not_prime"
"179","1",1,179,"prime"
"180","0",0,180,"not_prime"
"181","1",1,181,"prime"
"182","0",0,182,"not_prime"
"183","0",0.0165746,183,"pseudoprime"
"184","0",0,184,"not_prime"
"185","0",0.0819672,185,"pseudoprime"
"186","0",0.0217391,186,"pseudoprime"
"187","0",0.0162162,187,"pseudoprime"
"188","0",0,188,"not_prime"
"189","0",0.0160428,189,"pseudoprime"
"190","0",0.0425532,190,"pseudoprime"
"191","1",1,191,"prime"
"192","0",0,192,"not_prime"
"193","1",1,193,"prime"
"194","0",0,194,"not_prime"
"195","0",0.0362694,195,"pseudoprime"
"196","0",0.0103093,196,"pseudoprime"
"197","1",1,197,"prime"
"198","0",0,198,"not_prime"
"199","1",1,199,"prime"
"200","0",0,200,"not_prime"
"201","0",0.0150754,201,"pseudoprime"
"202","0",0,202,"not_prime"
"203","0",0.0149254,203,"pseudoprime"
"204","0",0,204,"not_prime"
"205","0",0.0738916,205,"pseudoprime"
"206","0",0,206,"not_prime"
"207","0",0.0146341,207,"pseudoprime"
"208","0",0.00970874,208,"pseudoprime"
"209","0",0.0144928,209,"pseudoprime"
"210","0",0,210,"not_prime"
"211","1",1,211,"prime"
"212","0",0,212,"not_prime"
"213","0",0.014218,213,"pseudoprime"
"214","0",0,214,"not_prime"
"215","0",0.0140845,215,"pseudoprime"
"216","0",0,216,"not_prime"
"217","0",0.162791,217,"pseudoprime"
"218","0",0,218,"not_prime"
"219","0",0.0138249,219,"pseudoprime"
"220","0",0,220,"not_prime"
"221","0",0.0684932,221,"pseudoprime"
"222","0",0,222,"not_prime"
"223","1",1,223,"prime"
"224","0",0,224,"not_prime"
"225","0",0.0313901,225,"pseudoprime"
"226","0",0,226,"not_prime"
"227","1",1,227,"prime"
"228","0",0,228,"not_prime"
"229","1",1,229,"prime"
"230","0",0,230,"not_prime"
"231","0",0.170306,231,"pseudoprime"
"232","0",0.026087,232,"pseudoprime"
"233","1",1,233,"prime"
"234","0",0,234,"not_prime"
"235","0",0.0128755,235,"pseudoprime"
"236","0",0,236,"not_prime"
"237","0",0.012766,237,"pseudoprime"
"238","0",0.00847458,238,"pseudoprime"
"239","1",1,239,"prime"
"240","0",0,240,"not_prime"
"241","1",1,241,"prime"
"242","0",0,242,"not_prime"
"243","0",0.00414938,243,"pseudoprime"
"244","0",0.00826446,244,"pseudoprime"
"245","0",0.0288066,245,"pseudoprime"
"246","0",0.0163934,246,"pseudoprime"
"247","0",0.142857,247,"pseudoprime"
"248","0",0,248,"not_prime"
"249","0",0.0121457,249,"pseudoprime"
"250","0",0,250,"not_prime"
"251","1",1,251,"prime"
"252","0",0,252,"not_prime"
"253","0",0.0119522,253,"pseudoprime"
"254","0",0,254,"not_prime"
"255","0",0.027668,255,"pseudoprime"
"256","0",0,256,"not_prime"
"257","1",1,257,"prime"
"258","0",0,258,"not_prime"
"259","0",0.136187,259,"pseudoprime"
"260","0",0,260,"not_prime"
"261","0",0.027027,261,"pseudoprime"
"262","0",0,262,"not_prime"
"263","1",1,263,"prime"
"264","0",0,264,"not_prime"
"265","0",0.0570342,265,"pseudoprime"
"266","0",0,266,"not_prime"
"267","0",0.0113208,267,"pseudoprime"
"268","0",0.0075188,268,"pseudoprime"
"269","1",1,269,"prime"
"270","0",0,270,"not_prime"
"271","1",1,271,"prime"
"272","0",0,272,"not_prime"
"273","0",0.0553506,273,"pseudoprime"
"274","0",0,274,"not_prime"
"275","0",0.010989,275,"pseudoprime"
"276","0",0.0364964,276,"pseudoprime"
"277","1",1,277,"prime"
"278","0",0,278,"not_prime"
"279","0",0.0108303,279,"pseudoprime"
"280","0",0.00719424,280,"pseudoprime"
"281","1",1,281,"prime"
"282","0",0,282,"not_prime"
"283","1",1,283,"prime"
"284","0",0,284,"not_prime"
"285","0",0.0530035,285,"pseudoprime"
"286","0",0.0492958,286,"pseudoprime"
"287","0",0.0105263,287,"pseudoprime"
"288","0",0,288,"not_prime"
"289","0",0.0522648,289,"pseudoprime"
"290","0",0,290,"not_prime"
"291","0",0.0103806,291,"pseudoprime"
"292","0",0.00689655,292,"pseudoprime"
"293","1",1,293,"prime"
"294","0",0,294,"not_prime"
"295","0",0.0102389,295,"pseudoprime"
"296","0",0,296,"not_prime"
"297","0",0.0101695,297,"pseudoprime"
"298","0",0,298,"not_prime"
